#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
67,Alex Forrest,D,9,0,3,3,2,-2,--,--,--,--,--,ONT: St. Catharines,16
68,Evan Headrick 6,R,32,0,3,3,10,2,--,--,--,--,--,ONT: Garden River,17
69,Kaden Schneider,D,18,2,0,2,20,1,--,--,--,--,--,ALTA: Calgary,18
70,Ian Robinson,F,5,1,0,1,0,-1,--,--,--,--,--,ONT: Newmarket,16
71,Evan Nicholson,L,8,0,1,1,0,-1,--,--,--,--,--,ONT: Georgina,16
72,Cole Crawford,F,1,0,0,0,0,-1,--,--,--,--,--,ONT: Barrie,16
73,Logan Massimi,D,1,0,0,0,0,3,--,--,--,--,--,ONT: Scarborough,16
74,Ryker Young,D,1,0,0,0,0,1,--,--,--,--,--,ONT: Barrie,17
75,Mason Hriczov,G,1,0,0,0,0,0,--,--,--,--,--,NJ: North Caldwell,16
76,Tommy Kut,D,3,0,0,0,0,-1,--,--,--,--,--,ONT: North York,16
77,Jason Schaubel,G,28,0,0,0,0,0,--,--,--,--,--,ONT: Barrie,17
78,Christian Kirsch,G,41,0,0,0,0,0,18,0,1,1,0,Switzerland: Basel,19
79,Cooper Foster,C,66,29,37,66,71,34,9,3,7,10,11,ONT: Sault Ste. Marie,20
80,Jasper Kuhta,C,62,32,31,63,6,25,9,2,5,7,0,Finland: Helsinki,18
81,Nic Whitehead,C,64,25,38,63,33,36,9,2,6,8,2,FL: Orlando,18
82,Kohyn Eshkawkogan,D,68,8,45,53,28,28,9,0,6,6,8,ONT: Manitoulin Island,16
83,Thomas Vandenberg,C,59,25,25,50,20,22,9,4,3,7,0,ONT: Nepean,16
84,Filip Ekberg,R,59,24,22,46,14,19,9,3,5,8,6,Sweden: Uppsala,18
85,Frankie Marrelli,D,66,13,30,43,82,48,9,3,6,9,6,ONT: Markham,19
86,Spencer Bowes,L,67,23,19,42,28,30,9,4,4,8,2,ONT: Carleton Place,17
87,Shaan Kingwell,L,60,10,23,33,32,19,9,1,1,2,10,ONT: Ottawa,18
88,Ondrej Ruml,D,66,10,18,28,4,27,9,0,1,1,0,Czechia: Boskovice,17
89,Brock Chitaroni,C,60,10,14,24,10,18,8,0,0,0,2,ONT: Sault Ste. Marie,16
90,Nic Sima 1,R,30,9,13,22,26,15,9,5,1,6,10,ONT: Mississauga,20
91,Nathan Amidovski 2,L,34,8,14,22,16,14,--,--,--,--,--,ONT: Alliston,17
92,Jack Dever 3,R,38,6,15,21,6,19,--,--,--,--,--,ONT: Belleville,19
93,Connor Bewick,D,65,1,20,21,49,48,9,1,2,3,2,IL: Gurnee,19
94,Sam McCue 4,L,28,7,8,15,34,13,9,2,0,2,9,ONT: Sudbury,19
95,Kaleb Dietsch,D,51,2,13,15,51,23,9,0,3,3,7,ONT: Niagara on the Lake,18
96,Ryan White,D,34,3,10,13,10,7,--,--,--,--,--,ONT: Kanata,18
97,David Bedkowski 5,D,30,3,9,12,60,19,7,1,1,2,14,ONT: Toronto,18
98,Brayden Krawczyk,C,52,4,7,11,12,3,2,0,0,0,0,ONT: Etobicoke,17
99,Teddy Spitznagel,F,30,2,9,11,23,10,9,0,0,0,9,NY: New York,19
100,Zach Houben,L,55,5,5,10,55,4,9,0,0,0,7,ONT: Stratford,18
101,Jaxon Williams 2,R,27,2,3,5,4,0,--,--,--,--,--,NC: Cary,17
102,Nolan Jackson,D,15,0,4,4,6,5,--,--,--,--,--,ONT: Innisfil,18
103,Reid Hayes,F,4,0,3,3,0,3,--,--,--,--,--,ONT: LaSalle,16
104,Caden Kelly,R,11,1,1,2,19,1,--,--,--,--,--,ONT: Mississauga,19
105,Jack Johnson,D,10,0,2,2,0,0,2,0,0,0,0,ONT: Stouffville,16
106,Jaeden Nelson,G,29,0,1,1,0,0,--,--,--,--,--,ONT: Ottawa,18
107,Ryder Fetterolf,G,41,0,1,1,4,0,9,0,0,0,0,PA: Sewickley,17
108,Theo Avila,D,2,0,0,0,0,-1,--,--,--,--,--,ONT: Ottawa,18
109,Cade Campbell,D,3,0,0,0,0,0,--,--,--,--,--,ONT: Toronto,16
110,Cole Beaudoin,C,54,33,55,88,29,40,15,10,19,29,17,ONT: Ottawa,19
111,Kashawn Aitcheson,D,56,28,42,70,97,46,19,8,19,27,25,ONT: Toronto,18
112,Brad Gardiner,C,67,31,34,65,49,9,21,7,12,19,0,ONT: Aurora,20
113,Emil Hemming,R,46,26,37,63,22,33,21,15,13,28,6,Finland: Vaasa,19
114,Joe Salandra,R,59,12,26,38,23,3,18,2,4,6,10,NY: Pleasantville,17
115,Calvin Crombie,R,60,11,24,35,82,5,20,3,7,10,36,ONT: Hamilton,19
116,Ben Wilmott 1,C,29,15,17,32,24,19,20,11,11,22,6,WA: Seattle,19
117,Cole Emerton,D,66,4,27,31,14,6,20,0,8,8,2,ONT: Oro-Medonte,17
118,Parker Von Richter 2,D,28,8,16,24,15,23,21,2,12,14,2,ONT: Mississauga,19
119,William Schneid,R,67,12,11,23,4,5,21,3,5,8,4,NY: Camillus,18
120,Carter Lowe,L,63,11,11,22,25,7,21,6,3,9,8,ONT: Toronto,19
121,Alex Assadourian,C,37,5,15,20,8,6,--,--,--,--,--,ONT: Stouffville,20
122,Jaiden Newton,C,67,7,12,19,43,-3,20,3,4,7,8,ONT: Whitby,17
123,Mason Zebeski 2,L,29,6,12,18,28,4,21,3,14,17,28,ONT: Oakville,19
124,Eamon Edgar,C,49,6,10,16,18,-1,15,1,2,3,4,ONT: Belle River,15
125,Nicholas Desiderio,L,64,7,8,15,47,5,17,1,0,1,2,NJ: North Caldwell,17
126,Justin Handsor,D,59,4,10,14,33,5,21,0,4,4,17,ONT: Whitby,17
127,Bode Stewart 3,L,36,3,9,12,34,-6,--,--,--,--,--,ONT: Oakville,19
128,Evan Passmore,D,66,3,7,10,58,12,21,0,3,3,13,ONT: Elmira,18
129,Gabriel Eliasson,D,61,2,6,8,122,-2,21,0,1,1,26,Sweden: Kungsbacka,18
130,Ethan Armstrong,D,31,1,5,6,17,-6,--,--,--,--,--,ONT: Toronto,18
131,Teague Vader,D,39,1,5,6,16,7,4,1,0,1,0,ONT: Gowanstown,18
132,Jonah McCormick,L,45,4,1,5,26,-3,16,0,0,0,8,ONT: Kingston,16
133,Nolan Newton,C,2,0,1,1,0,2,--,--,--,--,--,ONT: French River,19
134,Hagan Bach,G,1,0,0,0,0,0,--,--,--,--,--,NY: Niskayuna,16
135,Jack Pollock,D,3,0,0,0,7,1,--,--,--,--,--,ONT: Englehart,18
136,Noah Barton,D,3,0,0,0,0,-1,--,--,--,--,--,ONT: Peterborough,16
137,Aleksandr Sementsov,L,5,0,0,0,2,1,--,--,--,--,--,Russia: St. Petersburg,16
138,Sam Black 4,F,8,0,0,0,6,-2,--,--,--,--,--,ONT: Fergus,18
139,Arvin Jaswal,G,24,0,0,0,0,0,2,0,0,0,0,ONT: Pickering,17
140,Luc Gauvreau,F,25,0,0,0,63,-2,5,0,0,0,22,ONT: Hamilton,18
141,Ben Hrebik,G,43,0,0,0,2,0,20,0,0,0,0,ONT: Milton,19
142,Liam Greentree,R,52,38,36,74,63,19,13,6,8,14,9,ONT: Oshawa,19
143,Carson Woodall,D,68,12,51,63,27,17,13,2,6,8,0,ONT: Belle River,19
144,Anthony Cristoforo,D,62,22,40,62,16,13,13,5,9,14,4,ONT: Toronto,19
145,Ethan Belchetz,L,57,34,25,59,45,19,--,--,--,--,--,ONT: Oakville,17
146,Jack Nesbitt,C,55,25,33,58,67,26,13,7,3,10,17,ONT: Sarnia,18
147,Ethan Garden,L,65,16,25,41,19,13,13,4,3,7,4,MI: Belleville,17
148,Beksultan Makysh,L,68,14,25,39,21,28,7,0,1,1,0,Kazakhstan: Astana,17
149,Caden Harvey,C,68,11,23,34,10,26,13,3,3,6,2,PA: Beaver,17
150,Cole Davis,L,56,18,14,32,61,5,13,5,7,12,30,ONT: Sutton,19
151,Anthony Spellacy,C,51,13,19,32,63,0,13,3,5,8,18,OH: Cleveland,19
152,Wyatt Kennedy,D,66,3,23,26,44,37,13,1,5,6,2,ONT: Limoges,20
153,Andrew Robinson,D,63,9,15,24,19,36,13,2,6,8,0,ONT: Oakville,17
154,Nathan Villeneuve 1,C,23,5,14,19,31,5,13,3,1,4,34,ONT: Ottawa,19
155,Jean-Christoph Lemieux 2,L,33,10,8,18,22,8,--,--,--,--,--,PQ: Gatineau,17
156,Conor Walton,D,65,5,12,17,70,12,13,1,2,3,17,ONT: Toronto,19
157,Johnny McLaughlin,F,50,9,7,16,25,9,13,3,5,8,4,ONT: Corunna,16
158,Alex Pharand 1,R,30,6,10,16,11,3,13,2,2,4,2,ONT: Sudbury,20
159,Jakub Fibigr 3,D,29,2,14,16,6,5,13,3,9,12,2,Czech Rep.: Sternberk,19
160,Jonathan Brown,D,67,1,5,6,44,22,13,0,0,0,12,NY: Scarsdale,18
161,Max Brocklehurst,R,27,2,3,5,4,-5,8,2,0,2,2,NS: Sackville,16
162,Nathan Gaymes,R,49,1,4,5,70,0,11,1,2,3,0,ONT: Brampton,19
163,Carter Hicks 4,D,36,3,1,4,26,1,--,--,--,--,--,ONT: London,17
164,Cole Dubowsky,L,34,1,2,3,18,-6,--,--,--,--,--,ONT: Sudbury,18
165,Shawn Costello,C,24,1,1,2,12,-1,--,--,--,--,--,ONT: Brampton,18
166,Owen Outwater,L,8,0,2,2,6,2,--,--,--,--,--,ONT: Ottawa,20
167,Joey Costanzo,G,50,0,2,2,0,0,13,0,0,0,0,ONT: Toronto,20
168,Michael Newlove,G,23,0,1,1,2,0,--,--,--,--,--,ONT: Brampton,18
169,Kaiden Harmon,F,1,0,0,0,0,0,--,--,--,--,--,ONT: Cobourg,17
170,Grady Spicer,D,3,0,0,0,2,1,--,--,--,--,--,ONT: Brockville,17
171,Ian Inskip,L,5,0,0,0,2,0,--,--,--,--,--,ONT: L'Original,16
172,Jesse Debruyn,D,6,0,0,0,0,0,--,--,--,--,--,ONT: Exeter,16
173,Nathan Aspinall,L,65,33,61,94,42,21,8,10,7,17,2,ONT: Markham,19
174,Jimmy Lombardi,C,65,36,36,72,69,29,8,4,6,10,4,ONT: Toronto,18
175,Alex Kostov,R,47,24,31,55,48,24,8,3,6,9,14,ONT: Mississauga,19
