#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
291,Calum Hartnell,D,44,3,7,10,12,-3,6,0,1,1,2,ONT: Nepean,18
292,Gerry DiCunzolo,L,39,4,5,9,7,-11,--,--,--,--,--,NY: Buffalo,16
293,Blake Gowan 3,D,36,0,8,8,26,2,--,--,--,--,--,ONT: Kingston,17
294,Genc Ula 4,D,38,2,5,7,55,-6,--,--,--,--,--,NY: Chappaqua,16
295,Franics Parish,R,45,2,4,6,18,-7,6,1,1,2,7,ONT: Richmond Hill,18
296,Brett Hammond 5,R,24,1,4,5,22,-2,5,0,0,0,0,ONT: Ottawa,18
297,Garrett Frazer 5,D,29,1,3,4,29,0,6,0,2,2,2,VA: Haymarket,19
298,Brody Partridge,C,47,2,1,3,17,-11,6,0,0,0,0,ONT: Picton,18
299,Caden Taylor 6,L,8,1,2,3,4,-6,--,--,--,--,--,ONT: Shanty Bay,18
300,Holden Carter,D,14,0,3,3,8,7,5,0,0,0,0,IL: Hoffman Estates,18
301,Brandt Rooyakkers,F,1,1,1,2,0,2,--,--,--,--,--,ONT: London,16
302,Luis Sturgeon,D,3,0,1,1,4,2,--,--,--,--,--,ONT: London,16
303,Ben Radley 1,D,5,0,1,1,0,-4,--,--,--,--,--,ONT: Iroquois,18
304,Thanasi Marentette,D,42,0,1,1,58,-6,1,0,0,0,0,ONT: Windsor,18
305,Easton Rye,G,57,0,1,1,2,0,6,0,0,0,0,ONT: Peterborough,18
306,Jonny Brooks,F,1,0,0,0,0,0,--,--,--,--,--,ONT: Oakville,17
307,Dylan Lee-Stack,G,2,0,0,0,0,0,--,--,--,--,--,NY: New York,18
308,Liam Ladds 4,D,2,0,0,0,0,-1,--,--,--,--,--,ONT: Ilderton,17
309,Elijah Chavez,F,3,0,0,0,0,0,--,--,--,--,--,ONT: Oshawa,16
310,Kaiden Thatcher,D,3,0,0,0,4,1,--,--,--,--,--,ONT: Bethany,18
311,Kieran Raynor,F,8,0,0,0,2,1,--,--,--,--,--,ONT: St. Catharines,16
312,Masen Johnston,G,12,0,0,0,2,0,--,--,--,--,--,ONT: Peterborough,18
313,Ethan Procyszyn,C,65,31,28,59,94,32,10,4,1,5,6,ONT: Wasaga Beach,19
314,Nick Wellenreiter,F,68,23,33,56,34,27,10,1,2,3,6,ONT: Dundas,19
315,Lirim Amidovski,R,65,25,23,48,53,9,10,2,1,3,4,ONT: Alliston,18
316,Evgeny Dubrovtsev,C,68,14,24,38,18,0,10,0,4,4,4,: St. Petersburg,17
317,Kaden Pitre 1,C,37,13,24,37,22,14,6,0,2,2,8,ONT: Newmarket,19
318,Ryder Cali,C,47,16,20,36,24,2,10,1,3,4,4,ONT: Penetanguishene,16
319,Parker Vaughan,R,68,14,19,33,63,1,10,5,2,7,6,ONT: St. Thomas,17
320,Kent Greer,D,58,10,22,32,8,-7,10,1,3,4,4,ONT: Renfrew,17
321,Ryder Carey,C,59,15,15,30,37,8,10,2,0,2,5,ONT: Millgrove,17
322,Camryn Warren,C,58,7,22,29,16,-14,10,4,2,6,0,ONT: Vaughan,16
323,Nolan Laird,C,65,10,14,24,36,-8,9,0,2,2,2,ONT: Port Perry,19
324,Sebastien Gervais 2,L,30,9,14,23,0,10,10,1,2,3,0,ONT: Windsor,20
325,Brandt Harper,D,57,6,16,22,12,7,8,1,1,2,0,FL: Tampa,19
326,Bronson Ride,D,60,4,17,21,68,11,10,0,1,1,12,ONT: Toronto,20
327,Shamar Moses,R,48,8,10,18,60,-17,4,1,1,2,4,ONT: Scarborough,18
328,Jonathan Kapageridis,D,55,2,16,18,26,9,--,--,--,--,--,ONT: Vaughan,18
329,Ihnat Pazii 3,L,22,6,10,16,17,5,--,--,--,--,--,Ukraine: Kharkiv,18
330,Aaron Enright,D,53,2,14,16,24,12,10,0,3,3,0,ONT: Cobden,18
331,Arseny Pronin,L,42,7,7,14,12,1,6,0,1,1,2,: Minsk,18
332,Adrian Manzo,D,57,3,8,11,24,18,10,1,1,2,6,ONT: Vaughan,18
333,Jax Pereira,C,22,3,3,6,2,4,--,--,--,--,--,ONT: Uxbridge,16
334,Carter Kunopaski,D,44,2,4,6,22,-2,9,0,0,0,2,ONT: Pakenham,16
335,Hayden Barch 2,D,30,0,4,4,19,8,8,0,1,1,4,ONT: Grand Bend,18
336,Briir Long,C,10,1,2,3,0,3,--,--,--,--,--,ONT: Astorville,18
337,Lincoln Edwards,L,7,1,1,2,2,2,--,--,--,--,--,ONT: Don Mills,15
338,Alexander Karmanov,D,20,0,2,2,29,6,--,--,--,--,--,Moldova: Chisinau,17
339,Mike McIvor,G,25,0,2,2,0,0,4,0,0,0,5,ONT: Warkworth,19
340,Jack Lisson,G,40,0,1,1,2,0,8,0,0,0,0,ONT: Oakville,19
341,Charlie Larocque 4,G,1,0,0,0,0,0,--,--,--,--,--,ONT: Kanata,18
342,Declan Gallivan,D,1,0,0,0,0,1,--,--,--,--,--,ONT: Sault Ste. Marie,18
343,Easton Poe,D,1,0,0,0,0,1,--,--,--,--,--,MI: White Lake,17
344,Quinn Kipfer,F,2,0,0,0,0,0,--,--,--,--,--,ONT: Milverton,17
345,Devran Brown,D,2,0,0,0,0,2,--,--,--,--,--,ONT: Nepean,17
346,Cole Vreugdenhil,G,6,0,0,0,0,0,--,--,--,--,--,ONT: Hannon,15
347,Landon Wright,F,60,18,26,44,8,2,4,0,1,1,0,ONT: Brockville,19
348,Kieren Dervin,C,53,17,25,42,20,-6,4,0,2,2,0,ONT: Gloucester,18
349,Tomas Pobezal,C,60,17,22,39,41,-3,2,1,1,2,7,: Puchov,18
350,Vann Williamson,D,68,3,34,37,38,-10,4,0,1,1,4,ONT: Ajax,19
351,Maleek McGowan,D,62,14,22,36,29,-5,4,0,1,1,0,ONT: Toronto,20
352,Nolan Snyder,R,68,16,17,33,14,3,4,1,0,1,4,PA: Pittsburgh,16
353,Aleks Kulemin,C,57,11,20,31,22,10,4,1,0,1,4,ONT: Woodbridge,16
354,Matthew Frost,F,64,14,15,29,21,-2,4,1,1,2,2,SASK: Moose Jaw,18
355,Jacob Battaglia 1,R,36,14,13,27,39,-6,--,--,--,--,--,ONT: Mississauga,19
356,Robin Kuzma,C,68,14,13,27,10,-2,4,1,1,2,2,IL: Naperville,17
357,Tyler Hopkins 2,C,29,12,13,25,16,0,--,--,--,--,--,ONT: Campbellville,18
358,Alex McLean 3,C,27,4,20,24,8,-4,4,1,1,2,2,ONT: Perth,17
359,Andrew Kuzma 4,F,39,12,8,20,8,-6,--,--,--,--,--,IL: Naperville,20
360,Alex Misiak 5,L,28,6,14,20,31,-10,4,1,1,2,0,Slovakia: Malinovo,18
361,Nolan Buttar,C,62,11,8,19,21,1,4,0,1,1,2,ONT: Lindsay,17
362,Andre Mondoux,D,66,6,12,18,48,19,4,0,0,0,5,ONT: Sturgeon Falls,18
363,Matthew Henderson,D,63,2,16,18,24,6,4,1,1,2,2,ONT: Sarnia,16
364,Riley Clark,L,65,4,8,12,22,-6,4,1,2,3,5,ONT: Toronto,19
365,Adam Kelly,C,50,2,10,12,12,3,1,0,1,1,0,ONT: Sioux Lookout,16
366,Will Bishop,D,67,1,10,11,41,-20,4,1,1,2,7,ONT: London,20
367,Lukas Moore,D,57,2,7,9,33,18,3,0,0,0,6,ONT: Courtice,18
368,Camden McCuaig,F,17,3,3,6,11,1,1,0,0,0,0,ONT: Williamstown,17
369,Jack Dever 6,R,14,3,2,5,0,-5,4,0,1,1,0,ONT: Belleville,19
370,Ty Robar,C,10,3,1,4,4,1,--,--,--,--,--,ONT: Whitby,16
371,Niko Krmpotic,D,24,0,3,3,2,-2,--,--,--,--,--,ONT: Georgetown,18
372,Landon Marleau,F,4,1,0,1,0,1,--,--,--,--,--,CA: San Jose,18
373,Nolan Turnbull,D,1,0,1,1,0,1,1,0,0,0,0,ONT: Ottawa,18
374,Dante D'Andrea,D,5,0,1,1,0,-2,--,--,--,--,--,ONT: Sarnia,16
375,Gavin Betts,G,43,0,1,1,0,0,3,0,0,0,0,ONT: Toronto,17
376,Matthew Minchak,G,30,0,0,0,0,0,3,0,0,0,0,NJ: Cranford,18
377,Pierce Mbuyi,L,68,32,43,75,85,2,4,1,0,1,0,ONT: Mississauga,17
378,Tristan Delisle,L,68,31,33,64,54,-8,4,0,0,0,2,ONT: St. Andrews West,18
379,Harry Nansi,C,67,13,43,56,29,-16,4,0,0,0,0,ONT: Nepean,17
380,Lenny Greenberg,D,67,13,35,48,43,-5,3,0,0,0,2,CA: El Segundo,20
381,Cole Zurawski,R,63,24,22,46,34,-14,3,1,1,2,0,ONT: Barrie,17
382,Nicholas Sykora,L,67,24,20,44,6,-19,3,0,1,1,2,NJ: Roseland,18
383,John Banks,D,66,5,38,43,30,-24,4,0,1,1,0,NJ: Secaucus,18
384,Jake Crawford,C,60,14,23,37,71,-4,4,0,0,0,7,ONT: Barrie,18
385,Caden Taylor 1,L,38,10,15,25,25,1,3,0,0,0,2,ONT: Shanty Bay,18
386,Braedyn Rogers,D,66,6,19,25,34,-1,4,0,1,1,0,ONT: Belleville,18
387,Masen Wray,C,47,11,11,22,24,-11,4,1,0,1,4,ONT: North Bay,19
388,Noah Nelson,C,49,11,10,21,34,6,4,0,0,0,2,ONT: London,20
389,David Bedkowski 2,D,38,2,15,17,58,6,--,--,--,--,--,ONT: Toronto,18
390,Elliot Arnett,D,65,3,13,16,84,-5,4,0,0,0,6,ONT: Alliston,17
391,Wesley Royston 3,R,46,10,5,15,80,-5,4,0,0,0,15,ONT: Oro-Medonte,17
392,Michael Dec 4,R,16,3,12,15,2,-6,--,--,--,--,--,ONT: Mississauga,18
393,Max Delisle,C,57,5,8,13,52,-13,4,0,0,0,0,ONT: St. Andrews West,16
394,Noah Roberts,D,65,6,6,12,89,-7,4,0,0,0,13,ONT: Uxbridge,19
395,Easton Mikus,F,54,4,7,11,23,1,1,0,0,0,0,ONT: Thunder Bay,18
396,Landon Jackman,C,38,3,6,9,13,-5,1,0,0,0,0,MO: St. Louis,16
397,Jared Langdon,C,23,4,3,7,6,-6,4,0,0,0,0,ONT: Belleville,18
398,Julian Brown 5,D,24,3,3,6,21,-4,4,0,1,1,9,MA: Worcester,19
399,Jacob Therrien,R,5,2,2,4,11,-1,--,--,--,--,--,ONT: Courtice,19
400,Blake Munnings,D,33,2,2,4,4,0,2,0,0,0,2,ONT: Belleville,16
401,Ethan Kindree,R,13,0,1,1,2,-5,--,--,--,--,--,ONT: Cayuga,17
402,Carter George 6,G,22,0,1,1,0,0,--,--,--,--,--,ONT: Thunder Bay,19
403,Matthew Koprowski,G,29,0,1,1,0,0,3,0,0,0,0,ONT: Komoka,18
404,Dylan Durno,G,--,--,--,--,--,--,1,0,0,0,0,ONT: London,17
405,Alexander Lisi,F,3,0,0,0,0,0,--,--,--,--,--,ONT: Tecumseh,16
406,Mason Roy 7,D,17,0,0,0,2,-6,--,--,--,--,--,ONT: Campbellville,17
407,Trenten Bennett,G,27,0,0,0,0,0,2,0,0,0,0,ONT: Kitchener,19
408,Ethan Miedema,L,68,25,22,47,46,-16,4,1,0,1,5,BC: Fort St. John,20
409,Illia Shybinskyi,L,60,19,25,44,10,-2,4,0,3,3,0,ONT: Toronto,18
410,Jaakko Wycisk,C,60,17,26,43,22,-8,4,0,1,1,0,ONT: Tecumseh,16
411,Leo Serlin,R,68,15,26,41,16,-9,4,0,0,0,5,ONT: Toronto,19
412,Wil McFadden,C,62,11,30,41,14,-12,4,0,1,1,2,ONT: Peterborough,18
413,Carter Stevens,R,53,20,16,36,29,-12,4,1,0,1,0,ONT: Almonte,17
414,Charlie Paquette 1,R,36,17,19,36,6,-17,--,--,--,--,--,ONT: Essex,19
415,Quinn Beauchesne,D,56,7,28,35,57,-14,4,0,1,1,10,ONT: Ottawa,18
416,Tyler Hopkins 2,C,27,13,12,25,12,-1,4,2,0,2,2,ONT: Campbellville,18
417,Parker Snelgrove,C,68,11,14,25,52,-13,4,0,0,0,0,ONT: London,18
418,Hunter McKenzie,C,62,10,13,23,21,-9,4,0,0,0,2,ONT: Holstein,18
419,Rylan Singh,D,52,4,19,23,23,-5,4,1,0,1,2,ONT: Pickering,17
420,Alex McLean 3,C,30,7,14,21,4,-2,--,--,--,--,--,ONT: Perth,17
421,Grant Spada,D,61,6,15,21,75,11,4,0,0,0,14,ONT: Fort Erie,18
422,Layne Gallacher 4,C,32,5,13,18,4,-5,4,0,1,1,2,ONT: Brooklin,17
423,Noah Jenken,D,37,6,11,17,35,1,--,--,--,--,--,ONT: Ilderton,18
424,Jett Luchanko 1,C,11,2,15,17,10,-1,--,--,--,--,--,ONT: London,19
425,Eric Frossard,D,51,5,9,14,51,-8,4,0,1,1,6,ONT: London,17
426,Simon Belohorsky,L,34,9,4,13,6,4,3,0,0,0,0,: Liberec,16
427,Rowan Topp,D,57,3,10,13,64,0,4,0,0,0,7,ONT: St. Anns,19
428,Chris Soares,F,38,2,7,9,28,-3,--,--,--,--,--,ONT: Milton,19
429,Mykhailo Haponenko,L,45,3,4,7,8,-7,--,--,--,--,--,: Kharkiv,17
430,Mark Pape,L,46,3,4,7,24,-15,2,0,0,0,0,OH: Shaker Heights,16
431,Patrick Babin 4,D,42,0,6,6,14,-7,2,0,0,0,2,ONT: Niagara Falls,17
432,Joshua Avery 5,C,12,2,3,5,0,-5,4,0,0,0,2,ONT: Uxbridge,18
433,Sam Johnston,F,8,1,0,1,0,-1,--,--,--,--,--,ONT: Waterdown,18
434,Hayden Martin,D,2,0,1,1,0,0,--,--,--,--,--,ONT: Barrie,16
435,Daniil Skvortsov,D,6,0,1,1,4,-7,--,--,--,--,--,Russia: Kaluga,18
436,Zack Naish,D,7,0,1,1,6,-3,--,--,--,--,--,ONT: Hampton,15
437,Braeden Van Gelder,D,10,0,1,1,0,0,1,0,0,0,0,ONT: Toronto,18
438,Colin Ellsworth,G,21,0,1,1,0,0,1,0,0,0,0,ONT: Aurora,16
439,Zach Jovanovski,G,52,0,1,1,2,0,4,0,0,0,0,ONT: Tecumseh,17
440,Cruz Reznik,G,1,0,0,0,0,0,--,--,--,--,--,ONT: Richmond Hill,16
441,Robert Matson,C,1,0,0,0,0,0,--,--,--,--,--,NY: Binghamton,16
442,Callan Newton,F,2,0,0,0,2,0,--,--,--,--,--,ONT: Guelph,17
443,Dawson Morris,D,2,0,0,0,0,-1,--,--,--,--,--,ONT: Sudbury,17
444,Carter Lewandowski,C,6,0,0,0,0,-1,--,--,--,--,--,ONT: Maple,16
445,Jan Chovan,R,60,28,27,55,14,-26,4,2,0,2,0,Slovakia: Bratislava,18
446,Kieron Walton 1,C,33,24,28,52,12,-12,--,--,--,--,--,ONT: Toronto,19
447,Artyom Gonchar,D,65,15,36,51,31,-23,4,0,4,4,4,: Chelyabinsk,18
448,Nathan Villeneuve 2,C,28,16,28,44,42,-7,--,--,--,--,--,ONT: Ottawa,19
449,Adam Nemec,L,31,14,21,35,15,-9,4,0,2,2,6,Slovakia: Liptovsky Mikulas,17
450,Daniel Berehowsky,F,63,12,23,35,6,-30,4,1,0,1,2,AZ: Scottsdale,18
451,Chase Coughlan,R,59,18,15,33,92,-7,4,2,1,3,12,ONT: Toronto,20
452,Rowan Henderson,L,62,12,20,32,40,-13,4,1,1,2,2,ONT: Wellesley,17
453,Blake Clayton,C,68,9,19,28,68,-14,4,1,2,3,2,ONT: Burlington,17
454,Alex Pharand 2,R,37,10,16,26,8,-9,--,--,--,--,--,ONT: Sudbury,20
455,Jean-Christoph Lemieux 3,L,23,10,15,25,6,-12,4,2,1,3,0,PQ: Gatineau,17
456,Vladimir Provorov,C,67,7,18,25,22,-23,4,0,0,0,2,: Yaroslavl,17
457,Luca Blonda,D,60,2,21,23,25,-25,1,0,0,0,0,ONT: Sault Ste. Marie,16
458,Ethan Dean,F,67,6,9,15,12,-19,4,0,0,0,2,ONT: London,17
459,Hudson Martin,D,62,1,14,15,8,-17,4,0,2,2,0,ONT: Midhurst,18
460,Gavin Ewles,D,67,4,10,14,39,-8,4,0,1,1,6,ONT: Barrie,20
461,Brayden Bennett,C,64,4,9,13,20,-13,3,0,0,0,0,ONT: Ottawa,16
462,Hudson Chitaroni,F,21,5,5,10,17,-14,4,1,1,2,2,ONT: Sault Ste. Marie,18
463,Genc Ula 4,D,30,4,5,9,44,3,4,0,2,2,2,NY: Chappaqua,16
464,Trevor O'Dell,D,56,1,6,7,24,-13,4,0,0,0,0,ONT: Stouffville,19
465,Liam Ladds 4,D,22,3,2,5,21,1,--,--,--,--,--,ONT: Ilderton,17
466,Carter Kostuch 5,L,31,1,2,3,6,-3,--,--,--,--,--,ONT: Richmond Hill,18
467,Brady Smith,D,46,0,3,3,38,-10,1,0,0,0,0,ONT: Oshawa,17
468,Patrik Ula,L,4,1,1,2,0,1,--,--,--,--,--,NY: Chappaqua,15
469,Mason Walker,F,13,0,2,2,10,-4,--,--,--,--,--,ONT: Sudbury,16
470,Parker Smith,F,5,1,0,1,0,-1,--,--,--,--,--,ONT: Waterloo,16
471,Henry Doucet,L,23,1,0,1,23,-3,2,0,0,0,2,ONT: Kanata,17
472,Joey Brehmer,F,5,0,1,1,4,0,1,0,0,0,0,ONT: Waterloo,19
473,Finn Kearns,D,15,0,1,1,17,-6,4,0,1,1,0,ONT: Aurora,17
474,Jason Tremblay,G,1,0,0,0,0,0,--,--,--,--,--,PQ: Alma,19
475,Greg Najda,L,1,0,0,0,0,-1,--,--,--,--,--,ONT: Mississauga,17
476,Kingston Harris,F,2,0,0,0,0,0,--,--,--,--,--,ONT: Oakville,16
477,Nathan McKee,D,2,0,0,0,0,-1,--,--,--,--,--,ONT: Barrie,17
478,Jayden Connors,D,3,0,0,0,0,-4,--,--,--,--,--,ONT: Scarborough,18
479,Bodhi Ryan,C,4,0,0,0,0,-1,--,--,--,--,--,ONT: Toronto,17
480,"Ben RadleyTo Peterborough""> 6",D,4,0,0,0,2,-1,--,--,--,--,--,ONT: Iroquois,18
481,Cole Wreggitt,D,6,0,0,0,0,-4,--,--,--,--,--,ONT: Sault Ste. Marie,17
482,Kimani Eccleston,F,7,0,0,0,0,-2,--,--,--,--,--,ONT: Brampton,18
483,Zach Wilson 7,D,7,0,0,0,2,-5,--,--,--,--,--,ONT: Fenelon Falls,18
484,Finn Marshall,G,10,0,0,0,0,0,--,--,--,--,--,ONT: Toronto,19
485,Owen Leonard,G,10,0,0,0,0,0,--,--,--,--,--,ONT: Toronto,16
486,Karsen Chartier,G,13,0,0,0,0,0,--,--,--,--,--,ONT: Sudbury,19
487,Paolo Frasca,G,18,0,0,0,0,0,3,0,0,0,0,ONT: Toronto,18
488,Bjorn Bronas,G,27,0,0,0,0,0,1,0,0,0,0,MN: Sartell,18
489,Easton Walos,F,68,25,23,48,45,-24,--,--,--,--,--,WI: Hartland,16
490,Beckham Edwards,C,64,19,26,45,14,-26,--,--,--,--,--,ONT: Komoka,17
491,Ben Pickell,C,64,24,17,41,45,-13,--,--,--,--,--,ONT: Courtice,20
492,Jack Van Volsen,C,68,20,18,38,36,-39,--,--,--,--,--,ONT: Brooklin,19
493,Matthew Manza,F,67,13,21,34,14,-28,--,--,--,--,--,ONT: Mississauga,17
494,Liam Beamish,C,66,11,22,33,41,-32,--,--,--,--,--,ONT: Beamsville,18
495,Jordan Bax,R,52,15,16,31,65,-14,--,--,--,--,--,ONT: Parkhill,19
496,Alessandro Di Iorio,C,45,12,19,31,16,-37,--,--,--,--,--,ONT: Vaughan,17
497,Cameron Aucoin,D,67,7,20,27,30,-15,--,--,--,--,--,IL: Hinsdale,18
498,Mitchell Young,D,48,7,19,26,57,-36,--,--,--,--,--,ONT: Elmira,20
499,Ryan Brown 1,L,34,6,17,23,27,-6,--,--,--,--,--,ONT: Newmarket,17
500,Jacob Reese,D,66,5,15,20,101,-13,--,--,--,--,--,NY: Boston,19
501,Brenner Lammens,C,59,9,9,18,95,-10,--,--,--,--,--,ONT: Langton,15
502,Lukas Fischer 2,D,26,3,15,18,38,-5,--,--,--,--,--,MI: Pontiac,18
503,Tyler Challenger 3,C,45,10,6,16,20,-13,--,--,--,--,--,ONT: Mississauga,17
504,Logan Hawery 4,C,15,1,10,11,4,2,--,--,--,--,--,ONT: Barrie,17
505,James Barr,D,28,1,10,11,13,-11,--,--,--,--,--,ONT: Oakville,18
506,Chase Gaughan,R,49,3,7,10,6,2,--,--,--,--,--,PA: Drums,17
507,Hughston Hurt,D,49,1,7,8,23,6,--,--,--,--,--,MI: Oakland Township,18
508,Kaden Aucoin,D,61,2,5,7,72,-24,--,--,--,--,--,IL: Hinsdale,16
509,Kalib Capecci,D,14,0,6,6,2,4,--,--,--,--,--,NJ: Monroeville,18
510,Carson Hall,L,53,3,2,5,47,-1,--,--,--,--,--,ONT: Newcastle,19
511,Kase Kamzik 5,R,19,1,4,5,8,-8,--,--,--,--,--,PA: Johnstown,17
512,Hunter Solomon 6,D,34,2,2,4,25,-9,--,--,--,--,--,ONT: Guelph,17
513,Patrick Quinlan,G,48,0,4,4,4,0,--,--,--,--,--,MI: Plymouth,18
514,Sarvir Jaworski,L,16,1,1,2,2,2,--,--,--,--,--,IA: Pella,16
515,Ryder Simpson,L,14,1,0,1,2,-2,--,--,--,--,--,ONT: Guelph,17
516,Dallys Hibbert,D,3,0,1,1,2,1,--,--,--,--,--,ONT: Markham,19
517,Myles Dunn,F,3,0,1,1,0,1,--,--,--,--,--,ONT: Lambeth,16
518,Olivier Romain,D,7,0,1,1,4,-3,--,--,--,--,--,ONT: Brampton,18
519,Shane Neusteter,D,1,0,0,0,0,-2,--,--,--,--,--,ONT: Aylmer,17
520,Dylan Luecke,R,1,0,0,0,0,-2,--,--,--,--,--,MO: St. Louis,18
521,Cole Willard,D,2,0,0,0,0,-1,--,--,--,--,--,ONT: Hamilton,15
522,Cole Edmundson,F,2,0,0,0,0,0,--,--,--,--,--,ONT: London,17
523,Ruslan Karimov,R,3,0,0,0,0,-1,--,--,--,--,--,Russia: Almetyevsk,18
524,Carter Kostuch 7,L,4,0,0,0,2,-4,--,--,--,--,--,ONT: Richmond Hill,18
525,Charlie Larocque 8,G,4,0,0,0,0,0,--,--,--,--,--,ONT: Kanata,18
526,Chase Sewell,D,7,0,0,0,0,-2,--,--,--,--,--,ONT: Aylmer,15
527,Evan Maillet,G,15,0,0,0,0,0,--,--,--,--,--,ONT: Mississauga,19
528,Kale Osipenko,G,15,0,0,0,0,0,--,--,--,--,--,ONT: Renfrew,16
529,Kieran Witkowski,L,62,14,20,34,19,-16,--,--,--,--,--,ONT: Toronto,18
530,Julian Demiglio,C,67,14,16,30,60,-22,--,--,--,--,--,ONT: Concord,19
531,Mason Zebeski 1,L,38,13,15,28,37,-4,--,--,--,--,--,ONT: Oakville,19
532,Gabriel Chiarot 2,R,31,15,10,25,36,5,--,--,--,--,--,ONT: Hamilton,18
533,Keaton Ardagh,R,64,14,11,25,4,-19,--,--,--,--,--,ONT: Clarington,16
534,Parker Von Richter 1,D,38,4,21,25,26,2,--,--,--,--,--,ONT: Mississauga,19
535,Troy Patton,C,65,10,14,24,96,-11,--,--,--,--,--,ONT: Mulmur,17
536,Jakub Fibigr 3,D,27,8,16,24,8,13,--,--,--,--,--,Czech Rep.: Sternberk,19
537,Matej Stankoven,C,63,11,12,23,22,-23,--,--,--,--,--,: Bratislava,17
538,"Joshua AveryTo Guelph""> 4",C,31,8,10,18,6,-3,--,--,--,--,--,ONT: Uxbridge,18
539,Justin Bottineau,R,63,10,6,16,32,-15,--,--,--,--,--,ONT: Burlington,19
540,William Eggleton,L,61,5,10,15,39,-17,--,--,--,--,--,ONT: Mississauga,19
541,Peter Green,D,59,2,11,13,74,-14,--,--,--,--,--,ONT: Toronto,16
542,MacGregor Richmond,R,57,5,7,12,8,-12,--,--,--,--,--,ONT: Richmond Hill,19
543,Zach Nyman,D,34,3,9,12,10,-28,--,--,--,--,--,ONT: Toronto,17
544,Manuel Amado,C,59,3,9,12,55,-9,--,--,--,--,--,ONT: London,17
545,Carter Hicks 5,D,27,2,10,12,10,-14,--,--,--,--,--,ONT: London,17
546,David Green,D,48,3,7,10,25,-5,--,--,--,--,--,ONT: Toronto,19
547,Mason Roy 6,D,28,4,5,9,24,-15,--,--,--,--,--,ONT: Campbellville,17
548,Nathan Amidovski 7,L,23,3,5,8,8,-12,--,--,--,--,--,ONT: Alliston,17
549,Sean Goyette,D,29,1,7,8,10,-5,--,--,--,--,--,ONT: Hawkesbury,17
550,Owen Cartwright,D,47,3,4,7,23,-11,--,--,--,--,--,ONT: Holland Landing,17
551,Reed Gee,D,54,0,5,5,106,-22,--,--,--,--,--,ONT: Kingston,19
552,Ty Daniels,L,48,2,1,3,17,-8,--,--,--,--,--,ONT: Grimsby,17
553,Thomas Kuipers,F,5,1,2,3,8,1,--,--,--,--,--,ONT: Carrying Place,19
554,Jaxon Williams 7,R,25,0,3,3,8,-3,--,--,--,--,--,NC: Cary,17
555,Lucas Demiglio,L,7,2,0,2,4,2,--,--,--,--,--,ONT: Richmond Hill,16
556,Luke Dragusica,D,15,0,2,2,37,-8,--,--,--,--,--,ONT: Stoney Creek,18
557,Sam Black 8,F,23,0,2,2,21,-3,--,--,--,--,--,ONT: Fergus,18
558,Quinn Patton,L,1,1,0,1,0,1,--,--,--,--,--,ONT: Mulmur,15
559,Kieran Riley,D,2,1,0,1,4,1,--,--,--,--,--,ONT: King City,18
560,Jack Yates,F,5,1,0,1,2,1,--,--,--,--,--,ONT: Gloucester,17
561,Lachlan Larmand,R,12,0,1,1,0,-3,--,--,--,--,--,ONT: Tiny,16
562,Anthony Paolini,G,1,0,0,0,0,0,--,--,--,--,--,ONT: Cookstown,19
563,Jacob Bultje,R,1,0,0,0,2,0,--,--,--,--,--,ONT: Toronto,17
564,Peter Chlebowski,G,4,0,0,0,0,0,--,--,--,--,--,IL: Rosemont,16
565,Jared Harding,D,5,0,0,0,8,-1,--,--,--,--,--,ONT: Toronto,17
566,Luke Johnson,G,22,0,0,0,0,0,--,--,--,--,--,IL: Evanston,16
567,Zachary Bowen,G,47,0,0,0,2,0,--,--,--,--,--,ONT: Ottawa,20
568,Owen Griffin,C,66,25,42,67,54,-28,--,--,--,--,--,ONT: Markham,18
569,Luke Posthumus,F,67,23,34,57,14,-17,--,--,--,--,--,ONT: Ottawa,20
570,Harrison Franssen,C,64,24,18,42,63,-17,--,--,--,--,--,ONT: London,19
571,Brooks Rogowski,C,46,15,27,42,17,-24,--,--,--,--,--,MI: Brighton,17
572,Onni Kalto,L,62,21,8,29,14,-25,--,--,--,--,--,Finland: Vantaa,18
573,Lucas Moore 1,D,52,9,19,28,40,-13,--,--,--,--,--,ONT: Peterborough,20
574,Vadim Smirnov,L,61,10,11,21,8,-10,--,--,--,--,--,Russia: Moscow,17
575,Porter Byrd-Leitner,L,48,8,11,19,22,-14,--,--,--,--,--,NJ: Moorestown,19
576,Aiden O'Donnell 1,L,31,7,10,17,8,-13,--,--,--,--,--,NS: Cole Harbour,17
577,Anthony Figliomeni,F,55,6,7,13,60,-6,--,--,--,--,--,ONT: Mississauga,16
578,Haoxi Wang 2,D,28,2,11,13,22,-25,--,--,--,--,--,China: Beijing,18
579,Leo Laschon,D,50,2,11,13,22,-2,--,--,--,--,--,PA: Pittsburgh,17
580,Brady Blaseg,D,64,2,11,13,25,-43,--,--,--,--,--,ONT: Kanata,17
581,Sam Roberts,R,55,4,5,9,27,-17,--,--,--,--,--,ONT: Aurora,16
582,Ben Cormier,C,51,3,6,9,16,-23,--,--,--,--,--,ONT: Ottawa,19
583,Colin Feeley,D,55,0,8,8,35,-24,--,--,--,--,--,NJ: Wyckoff,17
584,Rowen Sang,L,59,5,2,7,8,-17,--,--,--,--,--,ONT: Oakville,17
