#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
68,Alexej Kubat,F,5,1,0,1,4,1,--,--,--,--,--,Slovakia: Levoca,17
69,Isak Forslund,D,4,0,1,1,0,-1,--,--,--,--,--,Sweden: Stockholm,19
70,Lazarus Ebanoidze,D,4,0,1,1,2,-2,--,--,--,--,--,IL: Lake Barrington,19
71,Nicklas Nelson,D,5,0,1,1,0,2,1,0,0,0,0,MN: Monticello,17
72,Justin Thibault,F,6,0,1,1,0,0,--,--,--,--,--,PQ: Levis,17
73,Michael Bonkov,D,1,0,0,0,0,0,--,--,--,--,--,NY: North Babylon,15
74,Andrew Fox,F,2,0,0,0,0,-1,--,--,--,--,--,TX: Irving,16
75,Caiden Pellegrino,F,2,0,0,0,0,-1,--,--,--,--,--,MA: Uxbridge,16
76,Will Leonard,F,5,0,0,0,0,-1,--,--,--,--,--,NY: Utica,16
77,Erik Kald,D,7,0,0,0,2,-3,--,--,--,--,--,NY: Oyster Bay,19
78,Waylon Esche,G,13,0,0,0,0,0,1,0,0,0,0,NY: Rome,20
79,Michael Barron,F,62,18,50,68,20,6,5,5,0,5,2,MI: Canton,19
80,Teddy Merrill,F,60,30,30,60,84,12,5,0,4,4,4,AZ: Scottsdale,20
81,Colin Frank,F,52,33,22,55,12,-3,5,0,3,3,0,CA: Ladera Ranch,19
82,Melvin Ekman,C,62,23,25,48,54,12,5,1,0,1,8,Sweden: Stockholm,19
83,Masun Fleece,F,49,25,22,47,52,18,5,1,0,1,0,CA: Rolling Hills,18
84,Eetu Orpana,C,58,15,29,44,16,16,5,0,2,2,2,Finland: Lempaala,18
85,Charlie Arend,F,52,18,25,43,38,7,5,0,3,3,4,IL: Wilmette,19
86,Caden Dabrowski,F,50,15,22,37,8,8,5,1,0,1,0,IL: Crystal Lake,17
87,Dante Josefsson-Westling,R,62,17,19,36,69,9,5,0,2,2,6,Sweden: Danderyd,19
88,Teo Besnier,D,60,4,32,36,40,10,4,0,0,0,0,France: Briancon,20
89,Ludvig Lafton,D,56,2,33,35,22,14,5,0,0,0,2,Norway: Baerum,19
90,Gavin Lock,F,56,20,9,29,125,15,5,1,2,3,4,MI: Plymouth,18
91,Xavier Lieb,F,52,8,19,27,16,2,5,2,2,4,0,PA: Nicktown,17
92,Hayden Russell 1,R,30,6,17,23,8,5,--,--,--,--,--,CA: Huntington Beach,18
93,Kristopher Richards,D,56,9,13,22,47,10,5,0,1,1,16,NY: Malone,18
94,Cooper Conway,L,32,6,15,21,26,10,--,--,--,--,--,MN: Andover,20
95,Lincoln Krizizke,D,51,6,12,18,77,9,5,0,2,2,6,WI: Waukesha,17
96,Brandt Dubey,D,58,2,16,18,76,24,4,0,0,0,0,NY: Orchard Park,19
97,Luke Brierley,D,54,3,11,14,12,28,5,1,0,1,4,IL: North Barrington,18
98,Hudson Lohse,D,53,1,11,12,14,20,5,0,1,1,19,TN: Franklin,17
99,Kane Johnson,F,45,4,7,11,37,11,1,0,0,0,0,ND: West Fargo,17
100,"James ""Garrett"" Russell 1",D,22,1,4,5,4,8,--,--,--,--,--,CA: Huntington Beach,18
101,Nils Sunde,D,17,1,3,4,6,3,2,0,0,0,0,Norway: Kristiansand,17
102,Joseph Covelluzzi 2,R,11,2,1,3,2,3,--,--,--,--,--,MA: Wakefield,16
103,Trevor Theuer,C,16,1,2,3,8,-2,4,0,0,0,0,MI: Clarkston,17
104,Owen Crudale 1,G,14,0,2,2,0,0,--,--,--,--,--,CA: San Diego,20
105,Vojtech Hambalek,G,44,0,2,2,2,0,5,0,0,0,0,Czechia: Varnsdorf,19
106,Jachym Prusek 3,D,2,1,0,1,0,0,--,--,--,--,--,Czechia: Mlada Boleslav,19
107,Mark Evans,F,2,0,1,1,0,1,--,--,--,--,--,PA: Pittsburgh,18
108,Jack Larkin,F,1,0,0,0,0,1,--,--,--,--,--,ND: Fargo,15
109,Louis Vittorio,D,1,0,0,0,0,0,--,--,--,--,--,IL: Chicago,17
110,Jack O'Brien,D,1,0,0,0,2,-1,--,--,--,--,--,ME: Kennebunk,20
111,Michael Chambre 4,G,6,0,0,0,0,0,--,--,--,--,--,FL: Fort Myers,20
112,Zach Wooten,L,61,35,27,62,86,8,2,2,0,2,2,MN: Apple Valley,19
113,Gavin Katz,F,60,30,27,57,34,-2,2,0,0,0,0,MN: Dellwood,18
114,Geno Carcone,F,58,13,39,52,59,-10,2,0,1,1,0,GA: Woodstock,18
115,Elliott Gulley,F,62,24,27,51,56,41,2,0,0,0,2,IL: Champaign,19
116,Andrew O'Sullivan,D,62,7,39,46,18,4,2,0,1,1,0,MA: Boston,19
117,Landon Hafele,C,52,15,27,42,69,9,2,0,0,0,2,AK: Fairbanks,17
118,David Rozsival,R,57,23,14,37,10,16,2,0,0,0,0,Czechia: Liberec,18
119,Nick Knutson,F,57,13,16,29,155,13,2,0,0,0,2,IL: Chicago,18
120,William Samuelsson,C,61,13,15,28,46,-5,2,0,0,0,0,Sweden: Sodertalje,19
121,Cruz Martin,F,55,8,15,23,37,9,2,0,0,0,0,MO: St. Louis,17
122,Gunnar Conboy,F,37,12,9,21,83,9,2,0,0,0,0,MN: Lakeville,16
123,Ethan Drabicki 1,F,46,8,7,15,28,-7,2,0,0,0,0,MI: Livonia,18
124,Owen Buesgens,D,37,3,12,15,6,11,--,--,--,--,--,MN: Excelsior,19
125,Oliver McKinney,F,37,8,6,14,25,-6,--,--,--,--,--,IL: Lake Forest,16
126,Nate Bienstock,D,56,4,10,14,18,6,2,0,0,0,0,NJ: Hillsborough,17
127,Adam Timm 2,R,37,1,12,13,77,7,--,--,--,--,--,WI: Chetek,20
128,Maceo Phillips,D,44,1,10,11,187,1,2,0,0,0,0,MN: Wayzata,18
129,Brady O'Malley,D,59,0,11,11,74,23,2,0,1,1,4,MI: Ann Arbor,20
130,Sam Harris,D,58,1,9,10,51,19,2,0,0,0,0,MN: Minneapolis,18
131,Jack Kultgen,D,52,1,7,8,35,5,2,0,0,0,2,MN: Shakopee,17
132,Nikita Fedotov,D,56,1,7,8,22,9,--,--,--,--,--,Russia: Yekaterinburg,17
133,Cody Sokol 2,F,13,3,1,4,6,-7,--,--,--,--,--,MI: Brighton,17
134,Frantisek Netusil 3,C,17,3,0,3,24,3,--,--,--,--,--,Czech Rep.: Prague,18
135,Chase Jette 4,F,4,1,2,3,2,2,2,0,1,1,0,IL: Lake Forest,18
136,Morgan Brady 4,D,14,1,2,3,20,9,2,0,0,0,0,ALTA: Woking,20
