#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
293,Max Anderson,F,51,14,13,27,199,-7,4,0,0,0,2,MN: Hugo,18
294,Mason Stenger,D,59,5,19,24,44,13,6,0,2,2,4,MN: Maplewood,19
295,Ashton Schultz 3,C,17,8,12,20,12,-2,6,4,2,6,0,MN: Victoria,18
296,Pavel Martinu,F,53,8,9,17,59,-12,5,2,0,2,2,Czech Rep.: Plzen,17
297,Lenny Giger,F,43,4,10,14,41,-6,1,0,1,1,0,Switzerland: Zug,18
298,Darik Olson,D,32,8,5,13,56,2,6,0,0,0,2,MN: Duluth,19
299,Matej Teply 4,D,27,2,10,12,28,-4,--,--,--,--,--,CT: Stamford,20
300,Kason Muscutt,F,29,5,6,11,127,0,--,--,--,--,--,LA: Bossier City,20
301,Christian Lyons,D,58,3,8,11,0,13,6,0,1,1,0,MO: St. Louis,18
302,Ryan Poirier,D,51,4,6,10,18,4,2,0,0,0,0,NH: Salem,16
303,Daniil Butin,F,59,2,8,10,39,-11,6,2,2,4,0,Belarus: Minsk,16
304,Aidan Dyer 3,F,23,2,7,9,10,-5,6,1,0,1,2,MI: Ada,19
305,Daniel D'Alessandro,F,28,2,7,9,12,-3,6,0,1,1,2,New Nerjery: Essex Fells,19
306,Dakotah Bailey 5,F,40,3,5,8,86,-1,5,2,1,3,2,MN: Afton,17
307,Gavin Carr,D,45,0,7,7,26,-4,6,0,1,1,4,NY: Churchville,19
308,Dallas Potter,F,31,2,4,6,20,-5,2,0,0,0,0,CT: Madison,18
309,Brock Stevenson,F,3,2,0,2,2,0,1,0,0,0,0,ONT: Milton,16
310,Jake Tavares,F,20,2,0,2,16,-5,--,--,--,--,--,MA: Boston,18
311,Travis Poliski,F,35,1,1,2,161,-4,4,0,0,0,0,MI: Macomb,17
312,Caden Okovita,F,24,0,2,2,6,-14,--,--,--,--,--,ONT: Toronto,18
313,George Lovell 6,R,5,1,0,1,0,-4,--,--,--,--,--,MA: Hingham,18
314,T.J. Hale,F,1,0,1,1,0,0,--,--,--,--,--,,
315,Jordan Tran,F,2,0,1,1,0,0,--,--,--,--,--,AZ: Mesa,15
316,Garin Ludwig,D,12,0,1,1,2,-6,--,--,--,--,--,AK: Eagle River,19
317,Mason Peapenburg,D,17,0,1,1,8,-15,--,--,--,--,--,WI: Larsen,19
318,Kiernan Poulin,D,1,0,0,0,0,-2,--,--,--,--,--,MA: Norwell,19
319,Luke Lalonde,F,1,0,0,0,0,-2,--,--,--,--,--,,17
320,Carson Clukies,F,1,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,17
321,Tyler Muchmore,D,1,0,0,0,0,-3,--,--,--,--,--,,
322,Myles Brosnan,D,2,0,0,0,0,0,--,--,--,--,--,MA: Winchester,17
323,Houston Smith,F,2,0,0,0,0,-2,--,--,--,--,--,IA: Sioux City,15
324,Andrew Cowgill,D,2,0,0,0,0,-1,--,--,--,--,--,PA: Collegeville,19
325,Max Yakub,D,2,0,0,0,0,-1,--,--,--,--,--,NJ: Manalapan,16
326,J.P. Montgomery,F,2,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,16
327,Jack Sullivan,D,3,0,0,0,2,0,--,--,--,--,--,NY: Buffalo,19
328,Kirby Perler,D,4,0,0,0,0,-3,--,--,--,--,--,CT: Woodbridge,18
329,Bjorn Bronas,G,12,0,0,0,0,0,--,--,--,--,--,MN: Sartell,18
330,Ryder Shea,G,25,0,0,0,25,0,2,0,1,1,0,MA: Framingham,19
331,Jack Fichthorn,G,36,0,0,0,2,0,5,0,0,0,0,CT: Darien,18
332,Ryan Seelinger,F,61,31,37,68,26,26,3,2,0,2,0,IL: Downers Grove,20
333,Blake Zielinski,C,53,25,30,55,33,9,3,2,0,2,6,NJ: Berlin,17
334,Owen Tylec,F,62,20,25,45,24,6,3,0,2,2,0,NY: Tonawanda,18
335,Riley Zupfer,F,58,16,25,41,60,10,3,0,3,3,0,MN: Woodbury,16
336,Ryland Randle,D,62,10,26,36,40,10,3,0,2,2,0,TX: Prosper,19
337,Rhys Wallin,F,60,12,20,32,28,6,3,1,1,2,6,MN: Wayzata,20
338,Joseph Argentina,F,56,12,12,24,51,-2,3,0,1,1,0,PA: Philadelphia,17
339,Keaton Orrey,D,59,7,15,22,101,0,3,0,0,0,4,MN: Eagan,19
340,Adam Zidlicky,L,54,5,13,18,116,-17,3,0,0,0,2,Czech Rep.: Prague,20
341,Nate Delladonna 1,R,26,8,6,14,37,2,--,--,--,--,--,NY: Syracuse,19
342,Jakub Dubravik,F,29,5,9,14,30,1,3,0,1,1,0,United Kingdom: Hereford,18
343,Henry Major 2,F,26,2,12,14,10,-1,3,2,1,3,0,NY: Skaneateles,18
344,Jason Davenport,D,59,2,12,14,105,5,3,0,0,0,0,MI: Shelby Township,19
345,Ryland Rooney 3,F,29,8,5,13,4,-1,--,--,--,--,--,MN: Dellwood,16
346,Harper Searles,F,62,5,6,11,94,1,3,0,0,0,4,MN: Blaine,19
347,Luke Norcross,F,43,3,7,10,8,-8,3,1,1,2,0,CA: Los Angeles,18
348,Nathan Hauad,F,47,5,4,9,28,-4,--,--,--,--,--,IL: Arlington Heights,16
349,Cade De St. Hubert,F,29,2,7,9,68,4,3,2,1,3,2,MN: Hopkins,19
350,Barrett Dexheimer 4,D,21,2,5,7,10,-2,--,--,--,--,--,MN: Edina,19
351,Henry Chmiel,D,48,1,4,5,57,0,3,0,1,1,4,MN: Woodbury,17
352,Theo Kiss,F,18,2,2,4,25,-3,--,--,--,--,--,Slovakia: Kosice,19
353,Becker Wenkus,D,13,0,4,4,16,4,3,0,2,2,2,MN: Edina,16
354,Ryan Kroll,D,31,0,4,4,55,-3,--,--,--,--,--,IL: Plainfield,19
355,Tomas Mikel,D,43,0,4,4,76,-2,3,0,0,0,2,Czech Rep.: Zlin,18
356,Cazimiro Carlson 5,F,11,1,2,3,33,-4,1,0,0,0,0,MN: Virginia,17
357,Gus Thorp 6,D,27,0,3,3,22,5,--,--,--,--,--,WI: Eau Claire,18
358,Nick Koering 4,D,31,0,3,3,42,4,--,--,--,--,--,MN: Eden Praire,18
359,Nate Garski,F,3,0,2,2,0,2,--,--,--,--,--,MN: Grand Rapids,17
360,Reese Shaw,F,1,1,0,1,0,1,--,--,--,--,--,MN: Coon Rapids,20
361,Jakeb Lynch 7,F,4,1,0,1,0,-2,--,--,--,--,--,NE: Papillion,18
362,Michael Sandruck,F,7,1,0,1,8,-1,--,--,--,--,--,NY: Victor,19
363,William Soffer,F,4,0,1,1,2,-4,--,--,--,--,--,NY: New York,16
364,Landon Cottingham,D,6,0,1,1,2,-1,--,--,--,--,--,MN: Woodbury,18
365,Drew Roelofs,F,26,0,1,1,8,-5,--,--,--,--,--,MN: Mound,19
366,Logan Hughes,G,2,0,0,0,0,0,--,--,--,--,--,WI: Fond du Lac,19
367,Miller Wenkus,D,2,0,0,0,0,0,--,--,--,--,--,MN: Edina,16
368,Ryan Gerlich,G,3,0,0,0,4,0,--,--,--,--,--,MN: Brainerd,19
369,Andrew Bely,G,7,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,18
370,Andrei Nikolaev,G,12,0,0,0,0,0,1,0,0,0,0,Russia: Moscow,16
371,Danick St. Pierre,F,12,0,0,0,35,-1,2,0,0,0,4,PQ: Saint-Jean-sur-Riche,17
372,Max Weilandt,G,21,0,0,0,0,0,--,--,--,--,--,IL: Northbrook,20
373,Alan Lendak 8,G,23,0,0,0,0,0,2,0,0,0,0,Slovakia: Nitra,19
374,Jackson Crowder,C,45,20,26,46,74,2,--,--,--,--,--,TX: Allen,18
375,Timothy Kazda,F,59,22,19,41,58,-5,--,--,--,--,--,Slovakia: Ilava,16
376,Brady Kudrick,F,62,17,22,39,14,5,--,--,--,--,--,MA: Norwell,19
377,James Scantlebury,F,62,16,23,39,8,-6,--,--,--,--,--,PQ: Chateauguay,16
378,Kolin Sisson 1,F,38,14,19,33,38,8,--,--,--,--,--,RI: Lincoln,18
379,Tobias Ohman 2,C,37,9,24,33,20,-1,--,--,--,--,--,Sweden: Uppsala,19
380,Luke Goukler,L,56,12,19,31,33,3,--,--,--,--,--,GA: Cumming,19
381,Ashton Schultz 3,C,32,9,13,22,41,-5,--,--,--,--,--,MN: Victoria,18
382,Marco Senerchia,D,56,4,18,22,8,4,--,--,--,--,--,RI: Greenville,18
383,Adyn Merrick 4,C,18,8,10,18,4,9,--,--,--,--,--,MI: Saline,19
384,Nathan Chorlton 5,F,41,5,13,18,8,-3,--,--,--,--,--,MN: Hastings,17
385,Cole Tuminaro,D,54,5,11,16,148,-4,--,--,--,--,--,IL: South Beloit,18
386,Wyatt Herres 4,D,28,3,11,14,45,-4,--,--,--,--,--,WI: Appleton,18
387,Jason Millett,D,62,2,12,14,16,9,--,--,--,--,--,NH: Hampton,18
388,Aidan Dyer 3,F,34,4,9,13,14,-1,--,--,--,--,--,MI: Ada,19
389,Alex Calbeck,D,33,2,11,13,6,-5,--,--,--,--,--,IL: St. Charles,19
390,Henry Major 6,F,31,6,6,12,14,-4,--,--,--,--,--,NY: Skaneateles,18
391,Dallas Vieau 7,F,18,5,7,12,20,-7,--,--,--,--,--,MN: Duluth,19
392,Ryland Rooney 8,F,27,5,4,9,0,1,--,--,--,--,--,MN: Dellwood,16
393,Benson Grande,F,48,4,5,9,23,-7,--,--,--,--,--,ND: Fargo,18
394,Jonas Kemps,D,57,2,7,9,52,-7,--,--,--,--,--,CA: Sebastopol,17
395,Patrick Tolan 9,F,24,1,8,9,6,-8,--,--,--,--,--,AK: Anchorage,19
396,Trevor Shorter,D,34,5,3,8,45,2,--,--,--,--,--,IL: Elmhurst,15
397,Miles Burgin,C,33,4,4,8,6,-1,--,--,--,--,--,BC: Surrey,19
398,Alex Assadourian,C,28,4,3,7,2,-2,--,--,--,--,--,ONT: Stouffville,20
399,Easton Pace,F,11,2,4,6,2,-1,--,--,--,--,--,MI: Chesterfield,18
400,Eero Hyytiainen,D,15,1,5,6,0,-4,--,--,--,--,--,Finland: Helsinki,19
401,Cole Bumgarner,F,12,2,3,5,0,-3,--,--,--,--,--,MN: Shakopee,17
402,Carter Frankiw,D,18,0,4,4,27,0,--,--,--,--,--,ALTA: Sherwood Park,19
403,Jayden Kurtz,D,16,2,1,3,2,-7,--,--,--,--,--,MN: Rogers,17
404,Zachary Spagnuolo,D,31,1,2,3,38,-1,--,--,--,--,--,TX: Allen,18
405,Cade Strom 10,F,16,1,0,1,0,-3,--,--,--,--,--,FL: Estero,17
406,Camillo Milani,F,7,0,1,1,0,-2,--,--,--,--,--,ONT: Oakville,16
407,Sam Caulfield,G,11,0,1,1,0,0,--,--,--,--,--,MA: Needham,19
408,Louis-Felix Charrois,G,31,0,1,1,0,0,--,--,--,--,--,PQ: Drummondville,20
409,Connor Mackenzie,G,1,0,0,0,0,0,--,--,--,--,--,ALTA: Canmore,18
410,Kage Flory,D,1,0,0,0,0,-1,--,--,--,--,--,NY: Grand Island,16
411,Jackson Mahley,D,1,0,0,0,2,1,--,--,--,--,--,MO: St. Louis,15
412,Alex Wang,G,1,0,0,0,0,0,--,--,--,--,--,MA: Concord,16
413,Vladislav Bryzgalov,G,2,0,0,0,0,0,--,--,--,--,--,NJ: Haddonfield,19
414,Karter Lundmark,F,2,0,0,0,0,0,--,--,--,--,--,PA: West Brandywine,16
415,Luca Cannata,F,2,0,0,0,0,-1,--,--,--,--,--,NY: Commack,17
416,Reese Tracy,F,3,0,0,0,0,-1,--,--,--,--,--,FL: Estero,16
417,Joseph Erickson,C,10,0,0,0,0,-7,--,--,--,--,--,MN: Mound,17
418,Veeti Louhivaara,G,22,0,0,0,0,0,--,--,--,--,--,Finland: Jyvaskyla,19
419,Alex Pelletier,F,59,48,37,85,39,17,8,4,4,8,6,CT: Granby,20
420,Layne Loomer,F,59,30,42,72,29,26,8,5,7,12,8,ALTA: Lethbridge,20
421,Kade Kohanski,F,62,21,33,54,55,8,8,6,4,10,4,MN: Hermantown,20
422,Nik Young,F,61,9,33,42,67,-9,8,1,6,7,8,NY: Lawtons,19
423,Nate Pederson,F,58,8,21,29,34,-4,7,1,0,1,12,MN: Shakopee,17
424,John Hirschfeld,F,56,12,12,24,56,3,8,2,4,6,0,MN: St. Cloud,19
425,Josef Eichler,D,49,3,18,21,192,14,8,2,4,6,16,Czechia: Benesov,19
426,Jackson Rudh,F,58,8,12,20,10,0,5,0,0,0,0,MN: St. Paul,18
427,Drew Nelson,D,42,3,12,15,6,15,4,0,1,1,4,MN: Duluth,19
428,Aidan Janz 1,F,33,5,6,11,10,-3,--,--,--,--,--,MI: Northville,18
429,Brady Cunningham,D,49,4,7,11,90,2,8,0,1,1,6,IL: Plainfield,17
430,Will Kortan,F,50,6,4,10,22,-10,5,0,1,1,10,MN: Lakeville,18
431,Aatu Karvinen,F,46,4,6,10,35,2,--,--,--,--,--,Finland: Vantaa,19
432,Drew DellaSalla,C,33,2,8,10,6,0,--,--,--,--,--,NY: New York,19
433,Cooper Williams,L,22,6,3,9,18,-6,7,2,2,4,8,MI: Pinckney,18
434,Josh Polak,F,28,4,5,9,24,5,--,--,--,--,--,ALTA: Strathcona County,19
435,Casey Vandertop,F,59,2,7,9,10,-8,8,1,1,2,0,MN: Edina,17
436,Griffin Brown,D,42,1,7,8,62,1,8,1,2,3,4,CA: San Jose,18
437,Samuel Murin 2,L,19,3,4,7,14,3,8,1,2,3,4,Slovakia: Poprad,18
438,Brady Sloper,D,55,1,6,7,106,-9,7,0,0,0,25,MA: North Andover,17
439,Cole Braunshausen,R,7,4,2,6,4,-1,8,1,3,4,2,MN: Lake Elmo,18
440,Nathaniel Poole,D,48,1,5,6,22,6,8,0,1,1,2,NY: Ithaca,18
441,Brady Kudrna,F,40,3,2,5,48,-16,--,--,--,--,--,IL: Bartlett,19
442,K.J. Sauer,F,5,2,3,5,30,-1,8,1,0,1,10,MN: Andover,17
443,Evan Malkhassian,F,41,1,4,5,14,-10,8,1,1,2,4,ONT: Toronto,18
444,Samuel Hybsky,C,27,0,3,3,4,-1,--,--,--,--,--,Slovakia: Zvolen,17
445,Lefty Markonidis 3,F,6,2,0,2,10,-4,--,--,--,--,--,MA: Hudson,20
446,Jachym Prusek 4,D,22,2,0,2,17,3,--,--,--,--,--,Czechia: Mlada Boleslav,19
447,Luke Janviriya,D,9,0,2,2,0,2,--,--,--,--,--,MI: Bloomfield Hills,19
448,Luke Puchner,F,2,0,1,1,0,-1,--,--,--,--,--,MN: New Germany,17
449,Ivan Bercik,R,4,0,1,1,2,1,--,--,--,--,--,Slovakia: Brezno,18
450,Charlie Durkin,G,1,0,0,0,0,0,--,--,--,--,--,IL: Glencoe,19
451,Jeremy Poirier,D,1,0,0,0,0,-2,--,--,--,--,--,NH: Salem,19
452,Devon Keller,G,1,0,0,0,0,0,--,--,--,--,--,ND: Minot,17
453,Daniel Greenbaum,F,1,0,0,0,0,0,--,--,--,--,--,CA: Orange,16
454,Brayden Hughes,D,2,0,0,0,2,-1,--,--,--,--,--,MI: Mattawan,17
455,Lincoln Ayers-Assad,F,2,0,0,0,0,0,--,--,--,--,--,MN: Bloomington,17
456,Jack Solomon,G,3,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,20
457,Kaiden Donia,D,5,0,0,0,15,-3,--,--,--,--,--,MA: Townsend,17
458,Emery Ipsen,D,19,0,0,0,34,1,5,0,0,0,0,IL: Antioch,16
459,Charlie Menard,G,21,0,0,0,2,0,5,0,0,0,0,AK: Fairbanks,17
460,William Prowse,G,42,0,0,0,12,0,3,0,1,1,2,CO: Vail,18
461,Carson Pilgrim,C,52,18,23,41,25,-10,2,0,1,1,0,MN: Warroad,19
462,Bode Laylin,D,55,11,27,38,45,-8,2,1,1,2,0,MN: St. Michael,17
463,Brecken Smith,F,61,14,17,31,24,-7,2,1,0,1,0,MI: Jackson,18
464,Mason Jenson,F,58,12,18,30,10,-16,2,0,1,1,0,MN: Rogers,18
465,Ashton Dahms,F,61,16,12,28,6,0,2,1,1,2,0,MN: Lakeville,20
466,Cameron Springer,F,61,11,14,25,8,-7,2,1,0,1,0,MI: Dexter,19
467,Paul Bloomer,R,58,8,13,21,62,-11,2,0,0,0,0,IL: Chicago,20
468,Luca Jarvis,F,56,4,17,21,10,5,2,0,0,0,0,MN: Stillwater,16
469,Connor Brown,F,60,7,12,19,37,-2,2,0,1,1,4,FL: Estero,20
470,Oliver Ozogany,F,56,9,8,17,45,-8,2,0,0,0,0,Slovakia: Bratislava,16
471,Cooper Ernewein,L,51,6,8,14,27,-15,2,1,0,1,0,SASK: Saskatoon,16
472,Lincoln Hjelm,R,43,5,9,14,23,-8,2,0,1,1,0,NE: Omaha,19
473,Cade Kozak,D,54,2,8,10,24,-1,2,0,0,0,0,MN: Isanti,18
474,Noah LaPointe,D,45,6,3,9,35,-11,2,0,0,0,4,IL: Hinsdale,19
475,Luka Rohloff,D,44,3,6,9,63,-10,2,0,1,1,0,MN: Grand Rapids,18
476,Gairin Michalski,D,36,3,5,8,41,3,--,--,--,--,--,WI: Waukesha,18
477,Evan Sofikitis,D,45,1,7,8,52,3,2,0,0,0,0,MI: Bloomfield Hills,18
478,Maddox Malmquist,F,49,4,3,7,22,-13,--,--,--,--,--,MAN: East St. Paul,17
479,Maxwell Dessner,D,35,2,5,7,12,-13,2,0,0,0,0,MN: Eden Prairie,16
480,Drew Anastasio,D,41,0,7,7,16,7,--,--,--,--,--,CT: West Simsbury,20
481,"Frantisek NetusilTo Omaha""> 1",C,18,1,5,6,42,-3,--,--,--,--,--,Czech Rep.: Prague,18
482,Samuel Murin 2,L,34,4,1,5,25,-7,--,--,--,--,--,Slovakia: Poprad,18
483,Adam Obusek,F,18,1,4,5,2,-3,2,0,2,2,0,Slovakia: Bratislava,17
484,Braydon Sisco,F,3,1,1,2,2,0,--,--,--,--,--,NJ: Fair Lawn,16
485,Jackson Lackas,F,9,0,2,2,0,0,--,--,--,--,--,NV: Las Vegas,18
486,Bode Wise,D,17,0,2,2,8,-1,--,--,--,--,--,PA: Johnstown,19
487,Evan Wanner,F,4,1,0,1,2,0,--,--,--,--,--,MN: Moorhead,16
488,Kash Crawford,D,13,1,0,1,8,-3,--,--,--,--,--,GA: Atlanta,19
489,Luke Dubsky,F,2,0,1,1,0,0,--,--,--,--,--,IL: Frankfort,17
490,Alexander Matveyev,D,6,0,1,1,2,-4,--,--,--,--,--,Russia: Ishimbay,20
491,Colton Whitfield,D,7,0,1,1,2,-4,--,--,--,--,--,RI: Warwick,19
492,Matthew Koch,D,2,0,0,0,0,-3,--,--,--,--,--,,
493,Charlie Mineman 3,D,3,0,0,0,0,-2,2,0,0,0,0,MO: St. Louis,16
494,Tibor Baran,D,3,0,0,0,0,-1,--,--,--,--,--,Slovakia: Bratislava,16
495,Evan Nee,F,4,0,0,0,0,-1,--,--,--,--,--,MA: Arlington,18
496,Quinn Beumer,G,4,0,0,0,0,0,1,0,0,0,0,MN: Orono,15
497,John Whisler,F,4,0,0,0,0,-1,--,--,--,--,--,MN: Woodbury,16
498,Kade McLaughlin,F,6,0,0,0,0,-2,--,--,--,--,--,AK: Anchorage,16
499,Owen Nelson,G,26,0,0,0,0,0,1,0,0,0,0,WI: Hudson,18
500,Michal Pradel,G,38,0,0,0,2,0,1,0,0,0,0,Slovakia: Dolny Kubin,18
501,Kole Hyles,C,58,23,19,42,36,6,--,--,--,--,--,NH: Newfields,19
502,Charlie Vig,F,59,11,21,32,106,9,--,--,--,--,--,ND: Bismarck,18
503,Tanner Morgan,F,59,9,22,31,77,-9,--,--,--,--,--,PA: Harrisburg,19
504,Lefty Markonidis 1,F,53,15,15,30,46,-9,--,--,--,--,--,MA: Hudson,20
505,Adam Israilov,F,56,10,20,30,42,-25,--,--,--,--,--,Russia: Yakaterinburg,16
506,Yegor Kim,F,59,14,13,27,34,-20,--,--,--,--,--,Kazakhstan: Karaganda,17
507,Ryan Aaronson,F,58,16,8,24,38,-10,--,--,--,--,--,IL: Riverwoods,18
508,Reese Lantz 2,D,38,3,19,22,23,-7,--,--,--,--,--,WI: Hartland,18
509,Jack Stanius,F,50,11,10,21,45,-19,--,--,--,--,--,MN: White Bear Lake,18
510,Cameron Caron,L,61,10,11,21,137,-14,--,--,--,--,--,Mass: Dracut,18
511,Brady Arneson,F,50,10,7,17,14,-20,--,--,--,--,--,MN: Red Wing,20
512,Tommy Spencer,F,56,2,15,17,28,-21,--,--,--,--,--,OH: Sylvania,18
513,Artyom Prima,F,17,6,8,14,8,-7,--,--,--,--,--,Russia: Yekaterinburg,17
514,Finn De St. Hubert,D,57,1,10,11,14,-14,--,--,--,--,--,MN: Hopkins,18
515,Ryder Reynolds,D,46,3,5,8,95,-13,--,--,--,--,--,NE: Omaha,17
516,Frantisek Netusil 3,C,16,2,6,8,71,-1,--,--,--,--,--,Czech Rep.: Prague,18
517,Drake Gram,D,35,2,4,6,39,-12,--,--,--,--,--,MI: Grosspoint Park,17
518,Hudson Kowalchuk,D,37,1,5,6,18,-20,--,--,--,--,--,MAN: Winnipeg,17
519,Henryk Lasky,D,42,1,4,5,27,-10,--,--,--,--,--,CT: Greenwich,20
520,George Lovell 4,R,28,2,2,4,27,-9,--,--,--,--,--,MA: Hingham,18
521,Brock Cheslock,F,9,2,1,3,0,1,--,--,--,--,--,MN: Rogers,17
522,Nikita Konevych,D,34,2,1,3,12,-8,--,--,--,--,--,Ukraine: Kiev,19
523,Todd Kilpela,D,19,1,2,3,12,-2,--,--,--,--,--,MI: Hancock,17
524,Ilya Gromov,F,24,1,2,3,21,-6,--,--,--,--,--,Kazakhstan: Astana,16
525,Ryan Yurkiw,D,35,1,2,3,22,-14,--,--,--,--,--,MI: Novi,17
526,Dakotah Bailey 5,F,8,0,3,3,6,-2,--,--,--,--,--,MN: Afton,17
527,Caden Lee,F,8,0,3,3,15,-8,--,--,--,--,--,MN: Chaska,19
528,Owen Smith,D,16,0,3,3,10,-2,--,--,--,--,--,MN: Maple Grove,19
529,Stanislav Sanejster,D,10,1,1,2,8,9,--,--,--,--,--,Czechia: Praha,16
530,Thaddeus McMahon,D,13,1,1,2,6,-10,--,--,--,--,--,IL: Wilmette,16
531,Blake Sinclair,D,10,1,0,1,2,3,--,--,--,--,--,MN: Albertville,17
532,Branko Vukas 6,D,10,0,1,1,0,-5,--,--,--,--,--,IN: Dyer,19
533,Nils Maurins,G,35,0,1,1,0,0,--,--,--,--,--,Latvia: Riga,18
534,Joc Bukovec,F,1,0,0,0,0,-1,--,--,--,--,--,Slovenia: Ljubljana,16
535,Nathan Di Chiara,D,1,0,0,0,2,0,--,--,--,--,--,CT: Fairfield,18
536,Brian Cooke,G,1,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,17
537,Owen Kailher,C,1,0,0,0,0,0,--,--,--,--,--,MA: Boston,16
538,Aiden Mckenna,G,2,0,0,0,0,0,--,--,--,--,--,NY: Webster,19
539,Michael Conlon,D,3,0,0,0,2,-5,--,--,--,--,--,NY: Rockville Center,18
540,Kevin Lysohir,F,5,0,0,0,4,-7,--,--,--,--,--,NY: Lake Ronkonkoma,17
541,David Hruby,F,12,0,0,0,2,-5,--,--,--,--,--,Czechia: Prague,17
542,Jacob Solano,F,20,0,0,0,8,-7,--,--,--,--,--,AZ: Phoenix,19
543,Devin Shakar,G,33,0,0,0,2,0,--,--,--,--,--,NY: Glenville,20
544,Carter Meyer,F,42,15,22,37,91,-21,--,--,--,--,--,MA: Winchester,16
545,Nolan Fitzhenry,F,44,13,20,33,16,-16,--,--,--,--,--,MN: Andover,16
546,Jamie Glance,F,25,12,14,26,8,0,--,--,--,--,--,NH: Stratham,16
547,Brayden Willis,F,39,14,11,25,10,-20,--,--,--,--,--,AZ: Gilbert,15
548,Sammy Nelson,F,21,9,10,19,18,-4,--,--,--,--,--,MN: Maple Grove,16
549,Michael Berchild,L,21,8,11,19,8,9,--,--,--,--,--,MN: Excelsior,17
550,Finnegan Sears,F,38,12,6,18,6,-38,--,--,--,--,--,MA: Medford,16
551,Victor Plante,L,20,8,10,18,4,-1,--,--,--,--,--,MN: Hermantown,17
552,Dayne Beuker,C,25,6,12,18,2,7,--,--,--,--,--,OR: Portland,17
553,Casey Mutryn,R,25,7,9,16,26,-3,--,--,--,--,--,MA: Norwell,17
554,Wyatt Cullen,L,15,6,10,16,25,3,--,--,--,--,--,MN: Moorhead,16
555,A.J. Francisco,D,22,3,12,15,4,-3,--,--,--,--,--,MN: Hermantown,17
556,Logan Stuart,C,23,3,12,15,0,11,--,--,--,--,--,CA: Manhattan Beach,17
557,Parker Trottier,L,24,8,6,14,38,5,--,--,--,--,--,MN: Edina,17
558,Diego Gutierrez,D,39,2,10,12,8,-9,--,--,--,--,--,TX: Flower Mound,16
559,Rocco Pelosi,F,35,6,5,11,16,-29,--,--,--,--,--,NJ: Sewell,16
560,Freddie Schneider,F,27,2,9,11,10,-25,--,--,--,--,--,MN: Edina,16
561,Christian Semetsis,D,28,2,9,11,58,-19,--,--,--,--,--,NY: Smithtown,15
562,Lukas Zajic,R,25,5,5,10,38,-1,--,--,--,--,--,IL: Plainfield,17
563,Kane Barch,F,36,2,8,10,60,-20,--,--,--,--,--,TX: Plano,16
564,Broden McArthur,D,37,2,7,9,46,-53,--,--,--,--,--,TX: Dallas,16
565,Luke Schairer,D,25,1,8,9,26,4,--,--,--,--,--,NC: Charlotte,17
566,Alexander Milojevic,F,34,4,4,8,0,-28,--,--,--,--,--,IL: Chicago,15
567,Hudson Salvador,F,33,3,5,8,14,-28,--,--,--,--,--,NJ: Warren,16
568,Braden Horton,F,29,2,6,8,26,-41,--,--,--,--,--,PA: Souderton,16
569,Easton Johnson,D,30,1,7,8,4,-32,--,--,--,--,--,MN: Luverne,16
570,Cannon Thibodeau,F,31,5,2,7,4,-22,--,--,--,--,--,SC: Charleston,15
571,Aurelio Garcia,F,19,4,2,6,24,-1,--,--,--,--,--,IL: Romeoville,17
572,Logan Lutner,D,24,1,5,6,12,2,--,--,--,--,--,MN: Maple Grove,17
573,Benjamin Geiger,D,39,1,4,5,28,-35,--,--,--,--,--,MN: Northfield,16
574,Carson Scott,D,37,0,5,5,77,-24,--,--,--,--,--,MN: Dayton,16
575,Sam Pandolfo,F,22,1,3,4,8,-28,--,--,--,--,--,MA: Winchester,16
576,Jackson Marthaler,D,25,0,4,4,22,0,--,--,--,--,--,WI: Superior,17
577,Abe Barnett,D,25,0,4,4,12,16,--,--,--,--,--,IL: Wilmette,16
578,Tyler Martyniuk,D,22,1,2,3,51,1,--,--,--,--,--,MI: Washington Township,16
579,Jake Boguniecki,D,28,2,0,2,59,-24,--,--,--,--,--,CT: Orange,16
580,Jonny Bloedow,F,6,0,2,2,0,-3,--,--,--,--,--,MN: Sleepy Eye,16
581,Nick Bogas,D,17,0,2,2,18,3,--,--,--,--,--,MI: Royal Oak,17
582,Sawyer Schmidt,F,5,1,0,1,0,-3,--,--,--,--,--,NY: Clarence,15
583,Sam Wathier,D,10,1,0,1,8,0,--,--,--,--,--,IA: Des Moines,17
584,Wyatt Jones,F,11,1,0,1,4,-8,--,--,--,--,--,TX: Friendswood,16
585,Griffin Storey,F,2,0,1,1,0,-2,--,--,--,--,--,MN: Faribault,16
586,Cole Mazzoni 1,F,3,0,1,1,0,-4,--,--,--,--,--,MI: Livonia,16
587,Dain Gordon 2,F,4,0,1,1,0,0,--,--,--,--,--,CO: Denver,17
588,Luke Carrithers,G,11,0,1,1,0,0,--,--,--,--,--,MN: Maple Grove,17
589,Beck Thoreson,D,14,0,1,1,2,-11,--,--,--,--,--,MN: Moorhead,15
590,Harrison Dana,D,1,0,0,0,0,-3,--,--,--,--,--,NE: Omaha,16
